,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link,query_genre
67,Jay Park,64,1983578,https://open.spotify.com/artist/4XDi67ZENZcbfKnvMnTYsI,"['k-pop', 'k-rap', 'korean r&b']",MOMMAE,Worldwide,71.0,2015-11-05,204991.0,True,https://open.spotify.com/album/5vESroqrGYDxDPAwUceQxf,https://open.spotify.com/track/1LNlfvPQmB0cqYJQQskZ8x,j-pop
68,SPITZ,66,1954189,https://open.spotify.com/artist/5kjGRHClVacSyllOUqU1S0,"['classic j-pop', 'j-pop', 'j-rock']",美しい鰭,ひみつスタジオ,77.0,2023-05-17,211920.0,False,https://open.spotify.com/album/5u95y591xPiCFY3UI5gHqY,https://open.spotify.com/track/1H3qOzheTPhE7aVvJOWfvA,j-pop
69,Yuuri,68,1945640,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",ベテルギウス,壱,77.0,2022-01-12,230600.0,False,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,j-pop
70,Yuuri,68,1945640,https://open.spotify.com/artist/0ixzjrK1wkN2zWBXt3VW3W,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",ベテルギウス,壱,77.0,2022-01-12,230600.0,False,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,japanese
71,SUDA MASAKI,57,1894931,https://open.spotify.com/artist/6n4SsAp5VjvIBg3s9QCcPX,"['anime rock', 'j-pop', 'japanese punk rock']",さよならエレジー,PLAY(Special Edition),67.0,2018-03-21,257066.0,False,https://open.spotify.com/album/5JP5NDPvio5ZhkXXjcHVov,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,j-pop
72,SUDA MASAKI,57,1894931,https://open.spotify.com/artist/6n4SsAp5VjvIBg3s9QCcPX,"['anime rock', 'j-pop', 'japanese punk rock']",さよならエレジー,PLAY(Special Edition),67.0,2018-03-21,257066.0,False,https://open.spotify.com/album/5JP5NDPvio5ZhkXXjcHVov,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,japanese
73,IZ*ONE,59,1877003,https://open.spotify.com/artist/5r1tUTxVSgvBHnoDuDODPH,"['k-pop', 'k-pop girl group']",Panorama,One-reeler / Act IV,70.0,2020-12-07,222853.0,False,https://open.spotify.com/album/3gfl9D7cMW3K87YiMbqsWK,https://open.spotify.com/track/0CnpSTdL9l5vQM4YnzXtyo,j-pop
74,BOL4,60,1781269,https://open.spotify.com/artist/4k5fFEYgkWYrYvtOK3zVBl,['k-pop'],Some,Red Diary Page.1,76.0,2017-09-28,181373.0,False,https://open.spotify.com/album/0d3mf5fBaIBbozCgeEI9AE,https://open.spotify.com/track/3jsYQw78lrxJA2ysnmOIf9,j-pop
75,OH MY GIRL,52,1733039,https://open.spotify.com/artist/2019zR22qK2RBvCqtudBaI,"['k-pop', 'k-pop girl group']",Nonstop,NONSTOP,63.0,2020-04-27,202760.0,False,https://open.spotify.com/album/7J8Kp48L7RdLkpjSVrO5PY,https://open.spotify.com/track/5joNJn9LUvYcamWwa2iYCL,j-pop
76,Vaundy,70,1731531,https://open.spotify.com/artist/2IUl3m1H1EQ7QfNbNWvgru,"['j-pop', 'japanese soul']",怪獣の花唄,strobo,81.0,2020-05-27,224806.0,False,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,https://open.spotify.com/track/10zz9RZt9DnqcxNWksRNrx,japanese
